,0
0,100010112916652
1,750321099
2,100001250791437
3,100000339461154
4,100002731932872
5,100026423963345
6,100014286152428
7,100002442118496
8,100000490197104
9,100020267071147
10,100000281550555
11,1755334282
12,100003866360128
13,100008271674899
14,100000447874022
15,100013515781716
16,100029558564095
17,100006572836847
18,100007641547069
19,100005231981149
20,100000740737828
21,100003637294945
22,100002539854141
23,100001449005889
24,1008308146
25,100011430682981
26,1450467740
27,100000455834389
28,100000182074499
29,100004157582890
30,557113162
31,1677999471
32,100005511664523
33,1651792741
34,100011142491946
35,100004067046008
36,100000133901551
37,563361597
38,100001232438834
39,100000095461650
40,100000433020600
41,100005604399036
42,696551088
43,100002017094641
44,100002565842506
45,100000902810095
46,100002038520970
47,100000159978102
48,100004681328486
49,447122042005267
50,100036072731018
51,100036008824101
52,100034795040781
53,100034703744933
54,100034599993759
55,100034200158516
56,100032325755207
57,100031965818004
58,100030746926555
59,100029286891284
60,100028996414936
61,100027401322870
62,100027386325554
63,100027016699835
64,100027004280179
65,100026437451084
66,100023861702675
67,100023645327279
68,100023619150083
69,100023563177577
70,100022618174530
71,100022591876952
72,100022524904589
73,100022230821323
74,100021959752915
75,100020949490890
76,100020937336239
77,100019974302346
78,100019915934619
79,100019379267235
80,100017034190540
81,100016590035193
82,100016471891316
83,100015654125023
84,100015431255405
85,100015309587353
86,100014439780191
87,100014017621122
88,100013022449145
89,100012672917934
90,100012438648894
91,100011817330446
92,100011761452495
93,100011071091307
94,100010908480806
95,100010654180590
96,100010506340402
97,100010471429527
98,100010349040768
99,100010175436157
100,100010153728114
101,100009738782526
102,100009716701430
103,100009673112702
104,100009535758865
105,100009533024371
106,100009327028653
107,100009266109610
108,100009238000715
109,100009194089458
110,100009137005925
111,100009131875564
112,100009045116679
113,100008872998211
114,100008779037627
115,100008711436948
116,100008561144658
117,100008482654152
118,100008439453869
119,100008391931968
120,100008221094448
121,100008205270121
122,100008166374575
123,100008100634307
124,100008063194442
125,100008011899206
126,100007961043301
127,100007909240013
128,100007790147906
129,100007780746167
130,100007756399400
131,100007697290109
132,100007681453842
133,100007678636253
134,100007549719094
135,100007448281038
136,100007399967594
137,100007390601594
138,100007281305202
139,100007097800363
140,100007039847532
141,100007034286584
142,100006909870943
143,100006802142008
144,100006793203463
145,100006714572403
146,100006698866884
147,100006676358587
148,100006645676462
149,100006634956809
150,100006578524256
151,100006561371694
152,100006547505137
153,100006544458033
154,100006536702919
155,100006507711827
156,100006488923700
157,100006403451653
158,100006329706640
159,100006317730286
160,100006247592077
161,100006227282590
162,100006047943556
163,100006040802916
164,100006010144163
165,100005984854442
166,100005972448833
167,100005964330985
168,100005950867101
169,100005900171217
170,100005899922847
171,100005875149733
172,100005629338596
173,100005590276591
174,100005564492779
175,100005544182957
176,100005369321527
177,100005364001028
178,100005358609345
179,100005338264768
180,100005180910211
181,100005172673809
182,100005111444040
183,100005022600217
184,100004964988602
185,100004782489152
186,100004657620049
187,100004635751632
188,100004331944130
189,100004324962946
190,100004262945894
191,100004200094066
192,100004134578178
193,100004114298129
194,100004114020674
195,100004082139354
196,100004050272979
197,100004036241015
198,100004024054716
199,100004018175491
200,100004015873071
201,100004005169084
202,100003932318823
203,100003915829205
204,100003908736331
205,100003860225557
206,100003804726205
207,100003797817260
208,100003797511160
209,100003740022576
210,100003651912154
211,100003568186546
